Filename,subj,month,subreg_tot_ms,makeup_tot_ms,extra_tot_ms,sil_tot_ms,skip_tot_ms,num_subreg_annots,num_extra_subreg,num_makeup_subreg,total_listen_ms,total_listen_hr
22_16_sparse_code.cha,22,16,10800000,0,0,0,0,3,0,0,10800000,3
22_17_sparse_code.cha,22,17,10800000,0,0,0,0,3,0,0,10800000,3
27_06_sparse_code.cha,27,6,0,0,0,21546110,12758910,0,0,0,36053880,10.01496667
37_07_sparse_code.cha,37,7,0,0,0,21479490,26416640,0,0,0,36120500,10.03347222
04_12_sparse_code.cha,4,12,14399999,0,0,0,0,4,0,0,14399999,3.999999722
13_12_sparse_code.cha,13,12,14399999,0,0,0,0,4,0,0,14399999,3.999999722
20_11_sparse_code.cha,20,11,14399999,0,0,0,0,4,0,0,14399999,3.999999722
30_08_sparse_code.cha,30,8,14399999,0,0,0,0,4,0,0,14399999,3.999999722
32_09_sparse_code.cha,32,9,14399999,0,0,0,0,4,0,0,14399999,3.999999722
01_11_sparse_code.cha,1,11,14400000,0,0,0,0,4,0,0,14400000,4
23_14_sparse_code.cha,23,14,10800000,0,0,0,0,3,0,0,10800000,3
23_15_sparse_code.cha,23,15,10799000,0,0,0,0,3,0,0,10799000,2.999722222
23_16_sparse_code.cha,23,16,10800000,0,0,0,0,3,0,0,10800000,3
23_17_sparse_code.cha,23,17,10800000,777270,12680,780650,778130,3,1,1,10031170,2.786436111
43_06_sparse_code.cha,43,6,0,0,0,1939940,10335560,0,0,0,36461550,10.12820833
01_06_sparse_code.cha,1,6,0,0,0,21101110,35811840,0,0,0,36498880,10.13857778
01_12_sparse_code.cha,1,12,14400000,0,0,0,0,4,0,0,14400000,4
04_11_sparse_code.cha,4,11,14400000,0,0,0,0,4,0,0,14400000,4
09_09_sparse_code.cha,9,9,14400000,0,0,0,0,4,0,0,14400000,4
10_13_sparse_code.cha,10,13,14400000,0,0,0,0,4,0,0,14400000,4
12_08_sparse_code.cha,12,8,14400000,0,0,0,0,4,0,0,14400000,4
12_11_sparse_code.cha,12,11,14400000,0,0,0,0,4,0,0,14400000,4
25_14_sparse_code.cha,25,14,10800000,0,0,0,0,3,0,0,10800000,3
25_15_sparse_code.cha,25,15,10800000,0,0,205970,0,3,0,0,10594030,2.942786111
25_16_sparse_code.cha,25,16,10800000,0,0,0,0,3,0,0,10800000,3
25_17_sparse_code.cha,25,17,10800000,0,0,0,0,3,0,0,10800000,3
04_07_sparse_code.cha,4,7,0,0,0,8058490,2206240,0,0,0,36666620,10.18517222
09_07_sparse_code.cha,9,7,0,0,0,20710100,0,0,0,0,36889890,10.24719167
12_12_sparse_code.cha,12,12,14400000,0,0,0,0,4,0,0,14400000,4
13_13_sparse_code.cha,13,13,14400000,0,0,0,0,4,0,0,14400000,4
15_13_sparse_code.cha,15,13,14400000,0,0,0,0,4,0,0,14400000,4
17_09_sparse_code.cha,17,9,14400000,0,0,0,0,4,0,0,14400000,4
18_10_sparse_code.cha,18,10,14400000,0,0,0,0,4,0,0,14400000,4
18_11_sparse_code.cha,18,11,14400000,0,0,0,0,4,0,0,14400000,4
26_14_sparse_code.cha,26,14,10800000,0,0,1089420,0,3,0,0,9710580,2.697383333
26_15_sparse_code.cha,26,15,10800000,1314930,0,1509930,0,3,0,1,10605000,2.945833333
26_16_sparse_code.cha,26,16,10800000,0,0,0,0,3,0,0,10800000,3
26_17_sparse_code.cha,26,17,10800000,0,0,0,0,3,0,0,10800000,3
20_07_sparse_code.cha,20,7,0,0,0,20572240,0,0,0,0,37027750,10.28548611
38_07_sparse_code.cha,38,7,0,0,0,9268060,977770,0,0,0,37222930,10.33970278
18_13_sparse_code.cha,18,13,14400000,0,0,0,0,4,0,0,14400000,4
19_08_sparse_code.cha,19,8,14400000,0,0,0,0,4,0,0,14400000,4
19_09_sparse_code.cha,19,9,14400000,0,0,0,0,4,0,0,14400000,4
19_10_sparse_code.cha,19,10,14400000,0,0,0,0,4,0,0,14400000,4
19_11_sparse_code.cha,19,11,14400000,0,0,0,0,4,0,0,14400000,4
19_12_sparse_code.cha,19,12,14400000,0,0,0,0,4,0,0,14400000,4
27_14_sparse_code.cha,27,14,10800000,0,0,480920,0,3,0,0,10319080,2.866411111
27_15_sparse_code.cha,27,15,10800000,0,0,129620,0,3,0,0,10670380,2.963994444
27_16_sparse_code.cha,27,16,10800000,602930,0,845550,599700,3,0,1,9957680,2.766022222
27_17_sparse_code.cha,27,17,10800000,0,0,0,0,3,0,0,10800000,3
39_06_sparse_code.cha,39,6,0,0,0,3135950,2448870,0,0,0,37265540,10.35153889
46_06_sparse_code.cha,46,6,0,0,0,2705280,6011070,0,0,0,37586210,10.44061389
19_13_sparse_code.cha,19,13,14400000,0,0,0,0,4,0,0,14400000,4
20_08_sparse_code.cha,20,8,14400000,0,0,0,0,4,0,0,14400000,4
20_12_sparse_code.cha,20,12,14400000,0,0,0,0,4,0,0,14400000,4
20_13_sparse_code.cha,20,13,14400000,0,0,0,0,4,0,0,14400000,4
21_12_sparse_code.cha,21,12,14400000,0,0,0,0,4,0,0,14400000,4
21_13_sparse_code.cha,21,13,14400000,0,0,0,0,4,0,0,14400000,4
28_14_sparse_code.cha,28,14,10800000,0,0,235690,0,3,0,0,10564310,2.934530556
28_15_sparse_code.cha,28,15,10800000,0,0,5790,0,3,0,0,10794210,2.998391667
28_16_sparse_code.cha,28,16,10800000,0,0,0,0,3,0,0,10800000,3
28_17_sparse_code.cha,28,17,10800000,0,0,121990,0,3,0,0,10678010,2.966113889
15_06_sparse_code.cha,15,6,0,0,0,19304760,31245450,0,0,0,38295230,10.63756389
11_06_sparse_code.cha,11,6,0,0,0,5818100,8053850,0,0,0,38680330,10.74453611
23_08_sparse_code.cha,23,8,14400000,0,0,0,0,4,0,0,14400000,4
23_10_sparse_code.cha,23,10,14400000,0,0,0,0,4,0,0,14400000,4
23_13_sparse_code.cha,23,13,14400000,0,0,0,0,4,0,0,14400000,4
25_11_sparse_code.cha,25,11,14400000,0,0,0,0,4,0,0,14400000,4
26_12_sparse_code.cha,26,12,14400000,0,0,0,0,4,0,0,14400000,4
26_13_sparse_code.cha,26,13,14400000,0,0,0,0,4,0,0,14400000,4
29_14_sparse_code.cha,29,14,10800000,0,0,0,0,3,0,0,10800000,3
29_15_sparse_code.cha,29,15,10800000,0,0,0,0,3,0,0,10800000,3
29_16_sparse_code.cha,29,16,10800000,0,0,119690,0,3,0,0,10680310,2.966752778
29_17_sparse_code.cha,29,17,10800000,0,0,0,0,3,0,0,10800000,3
32_06_sparse_code.cha,32,6,0,0,0,18688660,1183490,0,0,0,38911330,10.80870278
41_06_sparse_code.cha,41,6,0,0,0,18496070,1975490,0,0,0,39103920,10.8622
27_08_sparse_code.cha,27,8,14400000,0,0,0,0,4,0,0,14400000,4
27_11_sparse_code.cha,27,11,14400000,0,0,0,0,4,0,0,14400000,4
28_11_sparse_code.cha,28,11,14400000,0,0,0,0,4,0,0,14400000,4
28_13_sparse_code.cha,28,13,14400000,0,0,0,0,4,0,0,14400000,4
29_08_sparse_code.cha,29,8,14400000,0,0,0,0,4,0,0,14400000,4
29_10_sparse_code.cha,29,10,14400000,0,0,0,0,4,0,0,14400000,4
30_14_sparse_code.cha,30,14,10800000,0,0,83630,0,3,0,0,10716370,2.976769444
30_15_sparse_code.cha,30,15,10800000,0,0,923730,0,3,0,0,9876270,2.743408333
30_16_sparse_code.cha,30,16,10800000,0,0,0,0,3,0,0,10800000,3
30_17_sparse_code.cha,30,17,10800000,0,0,0,0,3,0,0,10800000,3
39_07_sparse_code.cha,39,7,0,0,0,0,2232270,0,0,0,39238110,10.899475
42_07_sparse_code.cha,42,7,0,0,0,18322830,4815750,0,0,0,39277160,10.91032222
29_11_sparse_code.cha,29,11,14400000,0,0,0,0,4,0,0,14400000,4
29_13_sparse_code.cha,29,13,14400000,0,0,0,0,4,0,0,14400000,4
31_08_sparse_code.cha,31,8,14400000,0,0,0,0,4,0,0,14400000,4
31_09_sparse_code.cha,31,9,14400000,0,0,0,0,4,0,0,14400000,4
31_10_sparse_code.cha,31,10,14400000,0,0,0,0,4,0,0,14400000,4
31_11_sparse_code.cha,31,11,14400000,0,0,0,0,4,0,0,14400000,4
31_14_sparse_code.cha,31,14,10800000,967870,0,976660,967470,3,0,1,9823740,2.728816667
31_15_sparse_code.cha,31,15,10800000,0,0,0,0,3,0,0,10800000,3
31_16_sparse_code.cha,31,16,10800000,0,0,0,0,3,0,0,10800000,3
31_17_sparse_code.cha,31,17,10800000,0,0,0,0,3,0,0,10800000,3
15_07_sparse_code.cha,15,7,0,0,0,18288520,0,0,0,0,39311470,10.91985278
43_07_sparse_code.cha,43,7,0,0,0,14925340,0,0,0,0,39552900,10.98691667
31_12_sparse_code.cha,31,12,14400000,0,0,0,0,4,0,0,14400000,4
33_12_sparse_code.cha,33,12,14400000,0,0,0,0,4,0,0,14400000,4
34_08_sparse_code.cha,34,8,14400000,0,0,0,0,4,0,0,14400000,4
35_11_sparse_code.cha,35,11,14400000,0,0,0,0,4,0,0,14400000,4
36_13_sparse_code.cha,36,13,14400000,0,0,0,0,4,0,0,14400000,4
38_10_sparse_code.cha,38,10,14400000,0,0,0,0,4,0,0,14400000,4
32_14_sparse_code.cha,32,14,10800000,841650,0,816190,0,3,0,1,10825460,3.007072222
32_15_sparse_code.cha,32,15,10800000,0,0,0,0,3,0,0,10800000,3
32_16_sparse_code.cha,32,16,10800000,0,0,0,0,3,0,0,10800000,3
32_17_sparse_code.cha,32,17,10800000,0,0,0,0,3,0,0,10800000,3
27_07_sparse_code.cha,27,7,0,0,0,17889720,449680,0,0,0,39710270,11.03063056
10_06_sparse_code.cha,10,6,0,0,0,3242010,0,0,0,0,39902980,11.08416111
38_13_sparse_code.cha,38,13,14400000,0,0,0,0,4,0,0,14400000,4
39_10_sparse_code.cha,39,10,14400000,0,0,0,0,4,0,0,14400000,4
40_08_sparse_code.cha,40,8,14400000,0,0,0,0,4,0,0,14400000,4
40_09_sparse_code.cha,40,9,14400000,0,0,0,0,4,0,0,14400000,4
40_13_sparse_code.cha,40,13,14400000,0,0,0,0,4,0,0,14400000,4
42_08_sparse_code.cha,42,8,14400000,0,0,0,0,4,0,0,14400000,4
33_14_sparse_code.cha,33,14,10800000,0,0,0,0,3,0,0,10800000,3
33_15_sparse_code.cha,33,15,10800000,0,0,0,0,3,0,0,10800000,3
33_16_sparse_code.cha,33,16,10800000,0,0,0,0,3,0,0,10800000,3
33_17_sparse_code.cha,33,17,10800000,0,0,0,0,3,0,0,10800000,3
25_06_sparse_code.cha,25,6,0,0,0,6021210,0,0,0,0,39946970,11.09638056
33_06_sparse_code.cha,33,6,0,0,0,7977570,9213000,0,0,0,40045480,11.12374444
42_09_sparse_code.cha,42,9,14400000,0,0,0,0,4,0,0,14400000,4
42_13_sparse_code.cha,42,13,14400000,0,0,0,0,4,0,0,14400000,4
43_10_sparse_code.cha,43,10,14400000,0,0,0,0,4,0,0,14400000,4
43_12_sparse_code.cha,43,12,14400000,0,0,0,0,4,0,0,14400000,4
44_09_sparse_code.cha,44,9,14400000,0,0,0,0,4,0,0,14400000,4
44_10_sparse_code.cha,44,10,14400000,0,0,0,0,4,0,0,14400000,4
34_14_sparse_code.cha,34,14,10800000,388400,0,341460,386130,3,0,1,10460810,2.905780556
34_15_sparse_code.cha,34,15,10800000,0,0,0,0,3,0,0,10800000,3
34_16_sparse_code.cha,34,16,10800000,1042260,0,0,1046040,3,0,1,10796220,2.99895
34_17_sparse_code.cha,34,17,7200000,0,0,0,0,2,0,0,7200000,2
40_07_sparse_code.cha,40,7,0,0,0,17476020,4904990,0,0,0,40123970,11.14554722
08_06_sparse_code.cha,8,6,0,0,0,16825630,24031430,0,0,0,40774360,11.32621111
44_12_sparse_code.cha,44,12,14400000,0,0,0,0,4,0,0,14400000,4
44_13_sparse_code.cha,44,13,14400000,0,0,0,0,4,0,0,14400000,4
45_10_sparse_code.cha,45,10,14400000,0,0,0,0,4,0,0,14400000,4
46_09_sparse_code.cha,46,9,14400000,0,0,0,0,4,0,0,14400000,4
46_11_sparse_code.cha,46,11,14400000,0,0,0,0,4,0,0,14400000,4
46_12_sparse_code.cha,46,12,14400000,0,0,0,0,4,0,0,14400000,4
35_14_sparse_code.cha,35,14,10800000,0,0,122850,0,3,0,0,10677150,2.965875
35_15_sparse_code.cha,35,15,10800000,1021990,0,0,1009800,3,0,1,10812190,3.003386111
35_16_sparse_code.cha,35,16,10800000,0,0,0,0,3,0,0,10800000,3
35_17_sparse_code.cha,35,17,10800000,0,0,0,0,3,0,0,10800000,3
10_07_sparse_code.cha,10,7,0,0,0,5559620,8214470,0,0,0,40847990,11.34666389
33_07_sparse_code.cha,33,7,0,0,0,6581370,1402730,0,0,0,41493680,11.52602222
46_13_sparse_code.cha,46,13,14400000,0,0,0,0,4,0,0,14400000,4
30_13_sparse_code.cha,30,13,14400000,478490,0,478150,0,4,0,1,14400340,4.000094444
15_08_sparse_code.cha,15,8,14400000,941690,0,0,940880,4,0,1,14400810,4.000225
06_12_sparse_code.cha,6,12,14400000,99280,0,98440,0,4,0,1,14400840,4.000233333
34_12_sparse_code.cha,34,12,14400000,1477500,0,1476470,0,4,0,1,14401030,4.000286111
10_10_sparse_code.cha,10,10,14400000,2013050,0,0,2011380,4,0,1,14401670,4.000463889
36_14_sparse_code.cha,36,14,10800000,0,0,0,0,3,0,0,10800000,3
36_15_sparse_code.cha,36,15,10800000,3211940,0,0,3215590,3,0,1,10796350,2.998986111
36_16_sparse_code.cha,36,16,10800000,0,0,695070,0,3,0,0,10104930,2.806925
36_17_sparse_code.cha,36,17,10800000,0,0,0,0,3,0,0,10800000,3
40_06_sparse_code.cha,40,6,0,0,0,4609730,6015160,0,0,0,41568570,11.546825
34_07_sparse_code.cha,34,7,0,0,0,15798670,9255110,0,0,0,41801320,11.61147778
09_11_sparse_code.cha,9,11,14400000,802530,0,0,800160,4,0,1,14402370,4.000658333
23_12_sparse_code.cha,23,12,14400000,609570,0,0,607060,4,0,1,14402510,4.000697222
35_12_sparse_code.cha,35,12,14400000,628700,0,0,625200,4,0,1,14403500,4.000972222
32_12_sparse_code.cha,32,12,14400000,2044750,0,0,2040610,4,0,1,14404140,4.00115
41_13_sparse_code.cha,41,13,14400000,1861860,0,0,1857240,4,0,1,14404620,4.001283333
42_11_sparse_code.cha,42,11,14400000,2374980,0,0,2369860,4,0,1,14405120,4.001422222
37_14_sparse_code.cha,37,14,10800000,0,0,70090,0,3,0,0,10729910,2.980530556
37_15_sparse_code.cha,37,15,10800000,0,0,177070,0,3,0,0,10622930,2.950813889
37_16_sparse_code.cha,37,16,10800000,0,0,0,0,3,0,0,10800000,3
37_17_sparse_code.cha,37,17,10800000,0,0,0,0,3,0,0,10800000,3
22_06_sparse_code.cha,22,6,0,0,0,10717850,12567380,0,0,0,41905510,11.64041944
20_06_sparse_code.cha,20,6,0,0,0,15531770,4265460,0,0,0,42068220,11.68561667
40_10_sparse_code.cha,40,10,14400000,960620,0,0,954380,4,0,1,14406240,4.001733333
